306,X,,,3.07.2017,"Manuel Matuzovic","CS, HCR, SB","Accessibility und CSS Grids",
305,X,,,26.06.2017,"Kira Schacht, Phil Ninh","CS, SB","Datenjournalismus",
304,X,,,24.06.2017,"","CS, HCR","Native Browser-APIs",
303,X,,,21.06.2017,"","HCR, SB","Cloud Hosting",
302,X,,,19.06.2017,"","PK, RR","Zukunft und Vergangenheit von JS-Tools und Libraries",
301,X,,,22.05.2017,"Jens Oliver Meiert","AH, CS","Optimierung und Wartbarkeit von CSS",
300,X,,,6.05.2017,"","AH, CS, PK, SB","Glücksrad!",
299,X,,,3.05.2017,"Stefan Judis","AH, HCR, PK, RR","Electron",
298,X,,,24.04.2017,"","CS, HCR, PK","Module, Bundling und Optimierung",
297,X,,,18.04.2017,"Bastian Krol","CS, HCR, RR","Elm",
296,X,,,3.04.2017,"","CS, HCR","Das Accessibility Object Model",
295,X,,,2.04.2017,"","HCR, PK, SB","Next, Git, Guetzli",
294,X,,,22.03.2017,"Sven Wolfermann","AH, CS","CSS Grids",
293,X,,,12.03.2017,"","HCR, PK, RR","Web Assembly, Bloat und Web Components",
292,X,,,6.03.2017,"Johannes Schickling","CS, HCR","Bessere APIs mit GraphQL",
291,X,,,28.02.2017,"","AH, PK","h-Element und ES2017",
290,X,,,20.02.2017,"","CS, HCR, SB","Parse & Compile, Safari 10.1, WebGPU",
289,X,,,18.02.2017,"Johannes Ewald, Tobias Koppers","AH, HCR","Tiefe Einblicke in die Webpack Entwicklung",
288,X,,,15.02.2017,"Roger Dudler","CS, HCR, SB","Frontify, Styleguides",
287,X,,,29.01.2017,"Joschi Kuphal","AH, HCR","Microinformationen und CoderDojo",
286,X,,,23.01.2017,"Katharina Baehr","CS, HCR, PK","Aurelia",
285,X,,,29.12.2016,"Vitaly Friedman","AH, CS, HCR, SB","Plausch mit Vitaly Friedman",
284,X,,,25.12.2016,"","AH, CS, RR","Rückblick und Ausblick",
283,X,,,12.12.2016,"Christoph Rumpel, Roman Kuba","HCR, SB","vue.js und Chatbots",
282,X,,,5.12.2016,"Tobias Block","AH, PK, SB","AMP aus Anwenderperspektive",
281,X,,,30.11.2016,"Max Stoiber, Nik Graf","SB","State of React",
280,X,,,28.10.2016,"","CS, HCR, SB","Yarn und Styled Components",
279,X,,,21.10.2016,"","AH, HCR","Abstand und Urlaub",
278,X,,,8.10.2016,"Marc Thiele","CS","Beyond beyond tellerrand",
277,X,,,19.09.2016,"","CS, RR, SB","Accessibility Object Model und Custom Elements",
276,X,,,15.09.2016,"","HCR, PK","Große Module, kleine Module? Viel Code, wenig Code?",
275,X,,,11.09.2016,"Christoph Reinartz, Jens Grochtdreis","CS, HCR, PK","Project Ironman",
274,X,,,29.08.2016,"Aaron Czichon","CS, HCR, SB","Ionic Framework",
273,X,,,26.08.2016,"Niels Leenheer","AH, CS","Open Device Labs, HTML5Test.com and Weird Browsers",
272,X,,,20.08.2016,"","AH, CS, RR, SB","Statische Seitengeneratoren, Metalsmith und CSS Funktionssyntax",
271,X,,,5.08.2016,"","CS, HCR, SB","HTTP/2 Server Push und Link Rot",
270,X,,,5.08.2016,"","CS, PK, SB","Debugging und Links",
268,X,,,31.07.2016,"","CS, HCR, SB","Konferenz- und Meetup-Organisation",
267,X,,,10.07.2016,"","AH, SB","News und Glücksrad",
266,X,,,29.06.2016,"Daniel Mies","CS, HCR","TypeScript",
265,X,,,20.06.2016,"Pascal Szewczyk","CS, HCR, PK, SB","Weiterbildung im Frontend",
264,X,,,13.06.2016,"","AH, PK, SB","Make Flash great again",
263,X,,,29.05.2016,"Christian Heilmann, Jeremy Keith, Peter-Paul Koch","CS, RR","Im Gespräch mit PPK, Chris Heilmann und Jeremy Keith",
262,X,,,16.05.2016,"","AH, CS, PK, SB","News, Glücksrad, Links",
261,X,,,16.05.2016,"","AH, CS, SB","SVG Icons, Element/Container Queries",
260,X,,,1.05.2016,"","HCR, RR, SB","Spezifikations-Neuheiten",
259,X,,,18.04.2016,"Max Stoiber","AH","React Entwicklung und Frontend Einstieg",
258,X,,,17.04.2016,"","AH, CS, PK","Das npm Debakel und warum wir so lahme Seiten bauen",
257,X,,,30.03.2016,"Rouven Wessling, Thomas Scholte","","Contentful – Das API-first CMS",
256,X,,,21.03.2016,"","AH, CS, HCR, SB","Arbeiten mit einem CMS – Berichte aus der Praxis",
255,X,,,13.03.2016,"","HCR, PK","Hack the Planet!",
254,X,,,4.03.2016,"","AH, AH, CS, HCR","Progressively loaded CSS, Grunt 1.0",
253,X,,,28.02.2016,"","AH, PK, SB","CMS, CMS, CMS!",
252,X,,,7.02.2016,"","HCR, PK, RR","Yo Dawg I heard you like JavaScript so I put a transpiler into your MVC so you can type check while you tree shake",
251,X,,,30.01.2016,"Malte Ubl","AH, CS, HCR, SB","Googles AMP und die Zukunft der Parallelität",
250,X,,,26.01.2016,"Bruce Lawson","AH, CS, HCR, SB","Achtung Baby!",
249,X,,,17.01.2016,"","AH, HCR, PK, SB","Sauberes HTML, Gratis CDNs",
248,X,,,10.01.2016,"Axel Rauschmayer","AH, CS, RR, SB","ECMAScript 6 und 7",
247,X,,,31.12.2015,"","HCR, HCR, KL, PK","Reaktive funktionale Programmierung",
246,X,,,25.12.2015,"","CS, RR","Der Blick in die Glaskugel",
245,X,,,19.12.2015,"","CS, PK, SB","Web Components und Links",
244,X,,,4.12.2015,"Marco Zehe","AH, HCR, RR","Accessibility Deep Dive und ally.js",
243,X,,,2.12.2015,"","AH, CS, HCR, PK","Unlearning und Diversity",
242,X,,,30.11.2015,"","AH, HCR, RR","Nützliche Services und a11y im täglichen Job",
241,X,,,8.11.2015,"Kai Niklas","AH, CS, HCR","WebGL",
240,X,,,7.11.2015,"","AH, HCR, SB","Content Blocker",
